sa3_name, dwelling, area_sqkm, state_name, sa3_code_2016, population
"Sorell - Dodges Ferry",7842,694.3265,"Tasmania","60106",16097
"Launceston",36743,260.7088,"Tasmania","60201",80984
"Meander Valley - West Tamar",10713,3978.9606,"Tasmania","60202",22449
"North East",20092,15735.6666,"Tasmania","60203",37100
"Central Highlands (Tas.)",6646,18426.733,"Tasmania","60301",11163
"Huon - Bruny Island",10162,2192.675,"Tasmania","60302",19156
"South East Coast",6278,3202.6087,"Tasmania","60303",6788
"Devonport",20613,1894.3583,"Tasmania","60402",44250
"West Coast",9466,19025.9578,"Tasmania","60403",17299
"Darwin City",12833,40.6174,"Northern Territory","70101",25825
"Darwin Suburbs",21175,132.4416,"Northern Territory","70102",53644
"Litchfield",8298,2938.3179,"Northern Territory","70103",23544
"Holdfast Bay",17210,13.14,"South Australia","40301",33710
"Marion",40486,56.1996,"South Australia","40302",90039
"Burnie - Ulverstone",22261,1604.4734,"Tasmania","60401",47574
"Palmerston",13108,52.5288,"Northern Territory","70104",33670
"Barkly",2599,303213.9847,"Northern Territory","70202",5528
"Daly - Tiwi - West Arnhem",6231,112294.8534,"Northern Territory","70203",16101
"East Arnhem",3636,33606.5893,"Northern Territory","70204",13008
"Katherine",7276,326250.2655,"Northern Territory","70205",18661
"Belconnen",39096,112.1467,"Australian Capital Territory","80101",96000
"Canberra East",683,211.9214,"Australian Capital Territory","80103",1584
"Alice Springs",15426,569564.7295,"Northern Territory","70201",36062
"Gungahlin",26196,91.8565,"Australian Capital Territory","80104",71093
"North Canberra",23374,44.7227,"Australian Capital Territory","80105",52992
"South Canberra",13742,44.4112,"Australian Capital Territory","80106",26955
"Tuggeranong",33420,159.7084,"Australian Capital Territory","80107",85093
"Weston Creek",9498,18.1487,"Australian Capital Territory","80108",22995
"Woden Valley",15247,28.6004,"Australian Capital Territory","80109",34803
"Molonglo",1979,27.1506,"Australian Capital Territory","80110",4587
"Urriarra - Namadgi",201,1619.5054,"Australian Capital Territory","80111",596
"Christmas Island",584,136.1356,"Other Territories","90101",1838
"Cocos (Keeling) Islands",185,13.7163,"Other Territories","90102",544
"Jervis Bay",116,67.8134,"Other Territories","90103",392
